"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"AWSShankar","f7fb2515-7322-4a1c-99d7-7a591b96cb53","46c98d88-e344-4ed4-8496-4ed7712e255d","Warned","MSDNDevTest_2014-09-01","None"
"AXCA_Azure","7b80b6fa-977f-4991-a905-e68a61310778","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","EnterpriseAgreement_2014-09-01","None"
"AXG-GRO-OSPRay-Dev","5b772cee-9423-4e83-93db-e6bde5245b45","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Axon","19a8d813-0b3e-484c-9db3-76242c9a0878","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Axon PreProd Discrete","07729352-bb2a-4542-b9cd-d94fedadc2dc","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Axon Prod Discrete","1e67c9a2-2a8b-461b-a6f8-89c63f12044f","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Axon-Preprod","cce43036-ff7b-4254-82a3-7f5926e564ff","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Axon-Sandbox","3e7a27f1-b977-4962-a69a-7aaea6fb6fe3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"az ags test","eaff486c-ab25-4a2b-83c6-e85ba6f74faf","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AZ-AGS-Recreate","7d822665-ac83-4439-b734-88288462ee30","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"azdocespoland","db38e61d-8471-4970-a8c3-5568447866ae","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","IAP=46243; Environment=Production; Region=GER; Department=Networking (NSG); ApplicationName=azdocespoland; Cost Center=32086; TechnicalContact=CES NVM Auto team; Data Classification=Intel Top Secret; Name=Subscription"
"azpsasdev","cd2328e1-e221-4374-b1df-a4108ef18b4b","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Azure arcprime","389f635f-c3b7-4ec9-bea9-69feb83fffd0","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure Cluster HyperV Validation","d9dcb24a-b248-4f56-93f3-48b91ecc42d9","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Azure learning","dac96cf0-61c9-40d2-9fb5-1bd5d31daac3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","PayAsYouGo_2014-09-01","None"
"Azure Log Analytics","9b2753e1-e44f-48e0-b34f-fd5acf9591d9","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Azure Stack HCI - Virtualization Cluster","84b7d9ed-3aca-4532-a9b0-9a448e7d4f35","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Azure subscription 1","b0a2af00-a386-4ade-9cf6-89850f8e91f8","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","270fe563-1647-4132-9008-b248287f1a50","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
